ID,Name,Email,Phone,Address,DOB,Transaction_Amount,Transaction_Date
bdd640fb-0667-4ad1-9c80-317fa3b1799d,daniel_doyle,fjohnson@hall.com,13863794026,"51161_abbott_rapids,_lindsaymouth,_de_50116",1944-04-28,6397.87,2024-08-02
9e574f7a-a0ee-49ae-9453-dd324b0dbb41,heidi_lee,stanleykendra@wyatt.biz,7525534192832,"835_jeremy_bypass_suite_641,_new_nancy,_il_86410",1972-12-07,259.86,2024-06-02
757750a9-a491-40b2-aa1f-ca65e27a984d,charles_mcgee,zhurst@yahoo.com,2871012269,"784_erin_crescent_suite_514,_mooretown,_va_35023",2005-02-05,2757.54,2024-07-13
e9a1fa6f-81f7-4d1c-adbc-2134c30ff46e,mario_skinner,nathanielmartin@sellers.com,4303911718227,"usns_baker,_fpo_ap_55962",2004-08-02,2239.88,2024-03-23
badcc32a-c159-4f53-8a0f-4efbedcd465e,michelle_ross,clam@gmail.com,3150983930,"10518_joshua_oval,_new_david,_ok_76026",1971-02-16,7367.35,2024-04-04
683514f2-ceb8-4f9d-b914-c120c8dcd19f,brent_jordan,uowens@gmail.com,1106513338726247,"8108_tanya_terrace,_east_richard,_il_53066",2000-05-16,6770.23,2024-01-23
fc3d3348-008d-4127-a104-61e32a25a888,timothy_glover,uhorton@hotmail.com,1723430980500978,"psc_8208,_box_1219,_apo_ae_89002",1997-08-10,8922.87,2024-04-01
e3e9de99-f10c-418b-9eb0-e38a675dd5af,lauren_williams,ksandoval@stewart.com,4624751079,"unit_1183_box_8425,_dpo_ae_32519",1964-02-09,878.52,2024-04-20
8b10550c-d570-4f32-b02c-dd20286218b8,lisa_archer,sarah12@wilson-rodriguez.net,4493534874,"psc_0164,_box_0052,_apo_ap_34836",1949-12-16,4225.0,2024-10-14
6d7ce3c9-b4a6-4f3c-8d3a-ed99711c21c9,ashley_landry,davenportbrandi@jordan.com,0533158692322,"56342_patrick_camp,_walkermouth,_me_30332",1954-02-17,307.67,2024-01-10
5408f9ac-6601-4dd0-b170-f437a8f7ef5a,benjamin_ayala,ifrazier@yahoo.com,1429401965,"9816_jonathan_station_suite_088,_west_ryan,_ma_82179",1960-04-28,2194.19,2024-09-14
e6697833-b841-40a0-9fe7-71d6d9178793,eric_ortiz,angela36@hotmail.com,29946804436995,"387_donna_haven_suite_134,_port_james,_az_32593",2005-12-01,5058.5,2024-07-03
12a4def0-c4bb-47a9-9988-68dd9c7c7377,stephen_johnston,jross@hotmail.com,0010163287083172,"9868_merritt_summit_suite_743,_katiehaven,_sc_31859",1957-08-25,275.09,2024-06-19
