ID,Name,Email,Phone,Address,DOB,Transaction_Amount,Transaction_Date
fe60afde-4200-41aa-bc82-6fbe395e54f0,henry_williams,melissarusso@hotmail.com,1107711991808121,"47871_deborah_isle_apt._137,_hammondtown,_nj_45238",,1910.19,
f86b2e95-a526-40b3-a8bc-d007747c7690,nathaniel_taylor,grayandrew@hines.com,3142900185,"27972_rivera_drives,_north_amy,_sc_71753",1947-04-05,5949.25,
7599d475-1b13-4a48-892e-b70c2f035a0c,catherine_brown,jefferywalker@chase-jones.com,0010605308868,"11667_laura_ridges,_west_peggymouth,_nh_44289",,2724.43,
7ac68859-94f6-414e-a89a-fbfe822e6328,regina_hill,sandovalwendy@gmail.com,7200283948,"20414_freeman_harbors,_lake_david,_nc_98513",1946-05-06,1392.36,
a9c3640d-e411-49d7-9030-fb0c45d5aacb,lauren_bonilla,pknapp@rhodes-clay.com,16591520177749,"97592_michelle_unions_suite_501,_davisview,_ia_52787",1945-11-01,9841.81,
56ef26a3-17c5-4a7c-af76-6a774d4bcdb2,christopher_hernandez,eleonard@gmail.com,6226817151602,"707_henderson_center_suite_641,_shawfort,_ma_70627",2005-02-02,9040.25,
a155eb2c-737c-48b5-a356-1add685a9f2b,eugene_price,maychristine@richards.net,4491476607,"68424_bernard_branch,_north_bobby,_pa_52154",1975-07-07,7210.01,
68b49b00-c867-48b2-99da-5f47e3caa0c4,raymond_green,cmyers@yahoo.com,40473504763928,"952_stephanie_brooks,_davismouth,_mi_72969",,8462.58,
a4ed91b8-4d9e-4b99-990c-3cdc7455767a,curtis_shields,enelson@gmail.com,2037638821458,"8460_ashley_coves,_west_johnny,_wv_88115",2002-05-05,9404.23,
20507d45-8b16-40a7-b6fa-16a1068187e9,williamzgreer,david54@graham-joyme.com,26832303589298,"382_mooregsprings_apt._932,_garrisonview,_mo_39363",,8109.61,
b1a7fe09-061a-4396-b167-28eef1758208,keith_jackson,zandrews@hernandez.info,2759980111,"1553_susan_inlet,_west_cindymouth,_nv_62771",1962-02-01,7955.5,
bf715a28-47ef-4886-95b5-b7b0f92edfa1,jeffrey_orr,zachary62@yahoo.com,00172870320320742,"70758_ellis_creek_apt._151,_port_justin,_ga_98796",,6736.91,
757750a9-a491-40b2-aa1f-ca65e27a984d,charles_mcgee,zhurst@yahoo.com,2871012269,"784_erin_crescent_suite_514,_mooretown,_va_35023",2005-05-02,2757.54,
3f6eed9d-23cb-4943-8a84-000350834fef,bradley_tran,abbottdominique@yahoo.com,8983640376,"918_valerie_island_apt._696,_amyburgh,_nj_10068",1940-05-02,2117.72,
4147a202-6b93-4fe0-b4f7-af311fe8fbe4,kathleen_levioe,julievazqkez@hotmail.com,912033016,"1903_maria_bridge,_rodriguezborough,_fl_19766",1988-01-04,1281.61,
4140752c-aa44-4259-9001-8b7b6d4067f4,christian_leblanc,deckerchristopher@garner.com,10988516560,"unit_9451_box_9832,_dpo_ap_63702",,8073.21,
e1a62208-a1f4-4627-be83-e81593758195,stephanie_walter,davidbaker@dawson.com,021288665268341,"991_charles_knoll_suite_676,_katherineberg,_hi_95358",,2043.94,
c5001e3e-f59d-4194-9021-7062a8179850,michelle_higgins,andrew43@norris.com,0016873045195,"255_malik_route_suite_629,_watsonstad,_la_19851",,1793.89,
8349c078-bc4b-4732-a170-920c7416386b,angela_watts,tgarcia@stewart.com,103296334727274,"306_travis_ridge,_lake_gregory,_ut_34982",,4890.43,
09b3abbf-8078-4391-9bdd-8ac39c4d8e2c,elizabeth_greer,hlogan@yahoo.com,131379716698416,"psc_1237,_box_4077,_apo_ap_35388",1955-09-11,9580.08,
f26bcebf-7def-4b8e-ac0d-fc3ab011b125,elizabeth_cannon,laurakelley@gmail.com,866326634163894,"3122_rodriguez_motorway_suite_497,_west_andrew,_nd_03401",,6093.61,
8becc264-c340-4500-9f6b-bc54f392b60b,jodi_lane,cwise@woods-rodriguez.com,211823793126978,"74645_benjamin_spurs,_savageview,_il_99465",,2774.04,
6a7d5d96-4ba1-4233-9ac3-bf317b96e2d1,angelica_guerra,larry73@webb.info,140105123828258,"62266_jo_flat_suite_966,_lake_jasonview,_vt_08701",1978-02-04,6849.3,
6b52f93c-2321-464e-a20d-4a1f479f6628,stephen_fox,wcasey@stephens-washington.org,564205930407859,"unit_2133_box_4803,_dpo_ap_51412",1963-08-02,4593.93,
c4ea4ece-67b6-4467-9432-d79794f6c67a,susan_arnold,michaelwalker@hotmail.com,00142788165803928,"99275_jeffery_oval,_north_joseph,_az_88133",1953-12-01,2675.58,
f1b7bd1e-c0d5-4828-aba1-7f78362e17d4,ann_rraham,sarahnguyrn@miranda-robinson.com,1712871539915668,"unit_6334_bix_1411,_dpo_ae_45096",1989-11-05,5796.01,
